 	4817
月	3069
中	2702
年	2621
日	2304
6	2202
河南	2106
说	2017
频道	1893
5	1826
时	1517
人民网	1498
记者	1465
h	1420
管理	1364
4	1347
1	1344
发展	1248
3	1246
工作	1225
权利	1177
提供	1131
2	1015
法律	1010
8	956
市场	956
留言板	929
内容	925
雅虎	919
尊重	902
公司	890
7	858
相关	808
10	794
新	784
比赛	782
服务	769
企业	769
d	756
情况	735
9	730
经济	724
时间	689
前	674
显示	669
做	668
建设	662
银行	650
岁	648
投资	636
拥有	629
网上	626
美国	625
t	623
网站	611
元	603
意见	596
信息	595
国家	592
北京	587
社会	586
应	583
孩子	583
里	583
请	578
承担	563
发现	561
发表	557
分	539
称	537
中华人民共和国	528
发生	524
组织	522
嗣	516
通知	508
言论	506
道德	506
法规	501
裢	500
平台	496
权力	493
留言	492
政策	491
万元	486
报道	484
w	484
u	482
有权	476
间接	474
遵守	474
法律责任	474
缒	468
活动	467
引用	467
笔名	465
管理员	464
内转载	463
生活	457
v	447
国际	447
全国	443
用户	442
政府	440
a	439
希望	439
11	438
r	433
影响	433
20	429
人员	425
部门	422
警方	421
人民	420
12	418
上网	418
s	411
现场	410
调查	407
参加	406
基金	405
查看	403
30	402
提示	400
n	398
k	395
名	395
高	392
合作	391
一名	385
生产	384
表现	383
未予	383
增长	382
2012	381
辏	377
方式	376
侠客	376
存储空间	376
请点	376
进一步	370
想	363
学生	362
上海	360
j	359
文化	359
2011	358
接受	356
眨	354
制度	352
包括	351
我国	350
地区	350
产品	347
群众	345
项目	344
男子	341
亿元	339
球员	335
价格	335
世界	332
关系	326
研究	325
学校	324
消息	320
m	318
两个	315
历史	313
网友	311
c	311
地方	311
走	310
领导	308
0	307
最终	307
毛泽东	305
资金	304
欧洲杯	302
点	302
发布	301
提出	301
号	295
球队	293
媒体	293
一位	290
特别	288
关注	288
代表	287
单位	285
行业	284
约	283
报告	283
能力	278
提高	278
国内	277
告诉	277
技术	276
介绍	275
日电	275
p	272
原因	272
改革	271
选择	271
昨日	271
教育	271
i	270
建立	269
未来	269
医院	268
增加	267
导致	266
城市	265
一种	265
机会	263
路	262
超过	262
支持	261
这是	260
女	260
贷款	259
猓	259
15	258
指出	257
中心	257
民警	254
利率	253
家	252
机构	252
司机	252
实施	251
次	250
压力	248
集团	248
汽车	248
宣传	245
交易	244
过程	244
期间	244
去年	243
14	241
近日	240
手机	239
精神	239
照片	239
吃	238
o	238
钱	238
小时	236
副	236
计划	235
党	235
正式	234
结束	234
数据	234
事	234
革命	234
送	232
b	231
标准	231
13	230
成立	229
风险	229
经营	227
调整	227
学习	227
第一	225
市	225
工作人员	225
车型	225
负责人	224
保障	224
成功	223
外	223
50	222
目标	221
股	220
政治	220
之间	219
台湾	219
日本	219
干部	217
解决	217
l	216
家庭	216
责任	215
水平	214
法院	213
事情	213
利用	212
分钟	212
车辆	212
中央	210
下午	210
公布	209
占	209
会议	208
一场	208
环境	207
矗	206
带来	206
100	206
网络	205
两人	205
系统	204
找	203
需求	201
朋友	201
持续	200
推动	200
这一	199
采访	199
正	198
一家	198
透露	198
观众	197
月份	197
扎尼布	197
案件	196
事件	196
农村	196
推进	196
未	196
条件	196
参与	196
死亡	193
同志	193
成	192
国民党	192
全球	192
40	192
微博	192
大学生	192
2010	191
主席	191
昨天	190
新闻	189
市民	187
电话	187
於	187
购买	186
作用	186
面对	186
销售	185
保护	185
业务	185
球迷	185
钦	184
基础	184
下降	183
达	183
纾	182
利益	182
主任	181
价值	181
父亲	181
站	180
意大利	180
电影	180
状态	180
推出	180
资产	179
存款	179
拍摄	179
犯罪	178
18	178
首次	178
优势	177
